驗證Key,日期,最新時間,代號,名稱,股票型態,目前狀態,目前決策,結果分類,盤後驗證結果,驗證狀態,驗證時間,首次價格,驗證價格,目前報酬%,驗證報酬%,最高報酬%,最大回撤%,驗證最高報酬%,驗證最大回撤%,AI總分,風險分,左側低吸分,盤中資金分,漲停前兆分,即時入場分,左側試單價,防守停損,右側加碼價,追價上限,停損距離%,資料來源,同步來源,狀態歷程
2026-06-12_2317,2026-06-12,16:01:23,2317,鴻海,中大型資金股,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,260.5,260.5,0,0,0,0,0,0,21.0,20.0,63.5,58.1,6.2,45.9,260.00,256.10,269.00,265.19,1.69,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_4958,2026-06-12,16:01:23,4958,臻鼎-KY,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,552.0,552.0,0,0,0,0,0,0,50.0,30.0,46.3,72.4,34.8,53.5,543.72,535.56,578.00,561.94,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_3037,2026-06-12,16:01:23,3037,欣興,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,902.0,902.0,0,0,0,0,0,0,21.0,20.0,43.8,77.5,45.0,53.5,890.00,876.65,930.00,918.24,2.81,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3189,2026-06-12,16:01:23,3189,景碩,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,610.0,610.0,0,0,0,0,0,0,50.0,30.0,55.0,49.2,0.0,41.5,600.85,591.84,664.00,620.98,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3008,2026-06-12,16:01:23,3008,大立光,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,4020.0,4020.0,0,0,0,0,0,0,50.5,30.0,65.0,41.1,0.0,42.2,4020.00,3959.70,4355.00,4092.36,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_8046,2026-06-12,16:01:23,8046,南電,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,819.0,819.0,0,0,0,0,0,0,21.0,20.0,62.0,61.0,11.9,47.5,812.00,799.82,868.00,833.74,2.34,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_8021,2026-06-12,16:01:23,8021,尖點,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,522.0,522.0,0,0,0,0,0,0,65.0,40.0,65.0,29.3,0.0,39.5,522.00,514.17,627.00,531.40,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_6669,2026-06-12,16:01:23,6669,緯穎,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,4850.0,4850.0,0,0,0,0,0,0,21.0,20.0,65.0,40.9,0.0,39.2,4845.00,4772.32,5135.00,4937.30,1.6,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_2383,2026-06-12,16:01:23,2383,台光電,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,4830.0,4830.0,0,0,0,0,0,0,56.0,30.0,55.0,34.2,0.0,36.8,4757.55,4686.19,5500.00,4916.94,2.98,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3665,2026-06-12,16:01:23,3665,貿聯-KY,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,2310.0,2310.0,0,0,0,0,0,0,50.0,30.0,41.1,82.8,55.5,59.5,2275.35,2241.22,2350.00,2351.58,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-12_3042,2026-06-12,16:01:23,3042,晶技,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,224.5,224.5,0,0,0,0,0,0,64.5,20.0,65.0,45.1,0.0,45.0,224.50,221.13,247.00,228.54,1.5,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_2368,2026-06-12,16:01:23,2368,金像電,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,1320.0,1320.0,0,0,0,0,0,0,29.2,20.0,65.0,47.6,0.0,42.3,1305.00,1285.42,1450.00,1343.76,2.62,盤後AI候選,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_3017,2026-06-12,16:01:23,3017,奇鋐,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,2405.0,2405.0,0,0,0,0,0,0,15.5,20.0,59.0,67.0,24.0,50.4,2380.00,2344.30,2480.00,2448.29,2.52,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3711,2026-06-12,16:01:23,3711,日月光投控,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,590.0,590.0,0,0,0,0,0,0,29.2,20.0,38.1,88.8,87.7,64.9,581.15,572.43,596.00,600.62,2.98,盤後AI候選,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-12_3653,2026-06-12,16:01:23,3653,健策,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,3690.0,3690.0,0,0,0,0,0,0,50.0,30.0,51.1,52.7,15.4,44.4,3634.65,3580.13,3820.00,3756.42,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3231,2026-06-12,16:01:23,3231,緯創,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,156.0,156.0,0,0,0,0,0,0,50.0,30.0,60.4,64.2,18.4,52.3,156.00,153.66,159.00,158.81,1.5,備援池,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3443,2026-06-12,16:01:23,3443,創意,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,4380.0,4380.0,0,0,0,0,0,0,23.8,20.0,41.6,81.8,53.6,56.3,4314.30,4249.59,4455.00,4458.84,2.98,盤後AI候選,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-12_3661,2026-06-12,16:01:23,3661,世芯-KY,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,4105.0,4105.0,0,0,0,0,0,0,50.0,30.0,62.8,49.4,8.9,46.1,4105.00,4043.42,4295.00,4178.89,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2345,2026-06-12,16:01:23,2345,智邦,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,2335.0,2335.0,0,0,0,0,0,0,21.0,20.0,49.7,65.6,21.1,46.7,2299.97,2265.47,2390.00,2377.03,2.98,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2881,2026-06-12,16:01:23,2881,富邦金,中大型資金股,⚪ 候選 / 觀察,觀察,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,122.0,122.0,0,0,0,0,0,0,50.0,30.0,55.0,43.8,0.0,39.6,120.50,118.69,129.00,124.20,2.71,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3481,2026-06-12,16:01:23,3481,群創,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,48.55,48.55,0,0,0,0,0,0,50.0,30.0,58.2,68.6,27.3,54.8,48.50,47.77,50.50,49.42,1.61,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_2409,2026-06-12,16:01:23,2409,友達,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,23.5,23.5,0,0,0,0,0,0,50.0,30.0,62.0,61.0,12.1,50.5,23.45,23.10,25.00,23.92,1.7,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2360,2026-06-12,16:01:23,2360,致茂,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,2295.0,2295.0,0,0,0,0,0,0,50.0,30.0,45.4,64.2,38.3,51.0,2260.57,2226.66,2320.00,2336.31,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2478,2026-06-12,16:01:23,2478,大毅,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,171.5,171.5,0,0,0,0,0,0,50.0,30.0,55.0,41.5,0.0,38.8,168.93,166.40,194.50,174.59,2.97,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_8150,2026-06-12,16:01:23,8150,南茂,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,97.0,97.0,0,0,0,0,0,0,50.0,30.0,65.0,54.6,0.0,46.9,96.70,95.25,104.00,98.75,1.8,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_3090,2026-06-12,16:01:23,3090,日電貿,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,256.0,256.0,0,0,0,0,0,0,50.0,30.0,35.3,94.5,100.0,70.4,252.16,248.38,258.05,260.61,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_2404,2026-06-12,16:01:23,2404,漢唐,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,1310.0,1310.0,0,0,0,0,0,0,50.0,30.0,35.8,93.5,100.0,70.2,1290.35,1270.99,1320.48,1333.58,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_3036,2026-06-12,16:01:23,3036,文曄,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,228.5,228.5,0,0,0,0,0,0,50.0,30.0,65.0,48.1,0.0,44.6,228.50,225.07,240.00,232.61,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_4919,2026-06-12,16:01:23,4919,新唐,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,175.5,175.5,0,0,0,0,0,0,50.0,30.0,61.5,62.0,13.9,51.0,175.50,172.87,188.00,178.66,1.5,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_6239,2026-06-12,16:01:23,6239,力成,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,347.5,347.5,0,0,0,0,0,0,50.0,30.0,46.3,72.4,34.8,53.5,342.29,337.16,363.50,353.75,2.98,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_2449,2026-06-12,16:01:23,2449,京元電子,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,282.0,282.0,0,0,0,0,0,0,50.0,30.0,57.6,69.7,29.4,55.5,280.50,276.29,287.00,287.08,2.02,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_7769,2026-06-12,16:01:23,7769,鴻勁,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,7210.0,7210.0,0,0,0,0,0,0,50.0,30.0,60.6,53.8,17.6,48.6,7200.00,7092.00,7545.00,7339.78,1.64,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_1303,2026-06-12,16:01:23,1303,南亞,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,106.5,106.5,0,0,0,0,0,0,50.0,30.0,35.2,94.6,100.0,70.4,104.90,103.33,107.35,108.42,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_3450,2026-06-12,16:01:23,3450,聯鈞,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,461.0,461.0,0,0,0,0,0,0,21.0,20.0,61.2,62.5,15.0,48.4,461.00,454.08,482.00,469.30,1.5,盤後AI候選,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_8112,2026-06-12,16:01:23,8112,至上,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,98.8,98.8,0,0,0,0,0,0,50.0,30.0,58.1,68.8,27.7,55.0,98.20,96.73,104.00,100.58,2.1,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_2603,2026-06-12,16:01:23,2603,長榮,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,228.0,228.0,0,0,0,0,0,0,50.0,30.0,63.2,58.5,7.0,49.0,226.50,223.10,232.00,232.10,2.15,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2301,2026-06-12,16:01:23,2301,光寶科,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,217.0,217.0,0,0,0,0,0,0,50.0,30.0,56.8,71.3,32.6,56.4,214.50,211.28,221.00,220.91,2.64,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_2484,2026-06-12,16:01:23,2484,希華,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,66.7,66.7,0,0,0,0,0,0,50.0,30.0,35.2,94.5,100.0,70.4,65.70,64.71,67.23,67.90,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_6531,2026-06-12,16:01:23,6531,愛普*,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,932.0,932.0,0,0,0,0,0,0,50.0,30.0,45.6,73.9,37.8,54.4,920.00,906.20,974.00,948.78,2.77,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2883,2026-06-12,16:01:23,2883,凱基金,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,27.45,27.45,0,0,0,0,0,0,50.0,30.0,65.0,50.7,0.0,45.5,27.45,27.04,29.40,27.94,1.49,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_00919,2026-06-12,16:01:23,00919,群益台灣精選高息,ETF / 市場動能,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,30.19,30.19,0,0,0,0,0,0,50.0,30.0,65.0,55.0,0.0,47.0,30.16,29.71,30.96,30.73,1.59,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_6285,2026-06-12,16:01:23,6285,啟碁,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,270.0,270.0,0,0,0,0,0,0,50.0,30.0,65.0,51.3,0.0,45.7,269.00,264.96,296.00,274.86,1.87,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_3406,2026-06-12,16:01:23,3406,玉晶光,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,662.0,662.0,0,0,0,0,0,0,50.0,30.0,65.0,37.1,0.0,40.7,657.00,647.14,739.00,673.92,2.24,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_6515,2026-06-12,16:01:23,6515,穎崴,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,9590.0,9590.0,0,0,0,0,0,0,50.0,30.0,35.0,84.9,100.0,67.0,9446.15,9304.46,9666.72,9762.62,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_8996,2026-06-12,16:01:23,8996,高力,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,1145.0,1145.0,0,0,0,0,0,0,50.0,30.0,64.1,56.8,3.5,48.0,1135.00,1117.97,1225.00,1165.61,2.36,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_6446,2026-06-12,16:01:23,6446,藥華藥,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,949.0,949.0,0,0,0,0,0,0,50.0,30.0,51.8,51.4,12.9,43.7,934.76,920.74,968.00,966.08,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2455,2026-06-12,16:01:23,2455,全新,動能股 / 先看資金,🔴 接近漲停 / 不追,不可追,接近漲停/大漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,352.0,352.0,0,0,0,0,0,0,50.0,30.0,35.0,95.0,100.0,70.5,346.72,341.52,354.82,358.34,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 接近漲停 / 不追
2026-06-12_6770,2026-06-12,16:01:23,6770,力積電,動能股 / 先看資金,👀 前兆出現,等低吸,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,67.2,67.2,0,0,0,0,0,0,50.0,30.0,56.3,72.4,34.8,57.0,67.00,66.00,68.00,68.41,1.79,上市成交金額排行,GitHub Actions background v2.15.4,👀 前兆出現
2026-06-12_2379,2026-06-12,16:01:23,2379,瑞昱,動能股 / 先看資金,⏳ 到價等確認,嚴格小量等待確認,弱勢/回撤,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,618.0,618.0,0,0,0,0,0,0,50.0,30.0,65.0,32.4,0.0,39.1,616.00,606.76,665.00,629.12,1.82,上市成交金額排行,GitHub Actions background v2.15.4,⏳ 到價等確認
2026-06-12_2891,2026-06-12,16:01:23,2891,中信金,中大型資金股,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,67.6,67.6,0,0,0,0,0,0,50.0,30.0,64.7,55.6,1.2,47.3,66.90,65.90,69.20,68.82,2.51,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2376,2026-06-12,16:01:23,2376,技嘉,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,342.0,342.0,0,0,0,0,0,0,50.0,30.0,63.8,57.4,4.7,48.4,341.00,335.88,354.00,348.16,1.79,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_3533,2026-06-12,16:01:23,3533,嘉澤,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,2240.0,2240.0,0,0,0,0,0,0,50.0,30.0,46.1,62.7,35.4,50.2,2206.40,2173.30,2290.00,2280.32,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2357,2026-06-12,16:01:23,2357,華碩,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,785.0,785.0,0,0,0,0,0,0,50.0,30.0,64.7,55.5,1.0,47.3,780.00,768.30,805.00,799.13,2.13,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_2059,2026-06-12,16:01:23,2059,川湖,動能股 / 先看資金,🔴 已過熱 / 等回測,不可追,有效/上漲,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,6910.0,6910.0,0,0,0,0,0,0,50.0,30.0,39.1,76.9,83.8,62.3,6806.35,6704.25,7040.00,7034.38,2.98,上市成交金額排行,GitHub Actions background v2.15.4,🔴 已過熱 / 等回測
2026-06-12_1519,2026-06-12,16:01:23,1519,華城,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,791.0,791.0,0,0,0,0,0,0,50.0,30.0,60.3,64.3,18.6,52.4,783.00,771.25,813.00,805.24,2.5,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_6451,2026-06-12,16:01:23,6451,訊芯-KY,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,502.0,502.0,0,0,0,0,0,0,50.0,30.0,64.0,57.0,4.0,48.1,500.00,492.50,530.00,511.04,1.89,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
2026-06-12_6415,2026-06-12,16:01:23,6415,矽力*-KY,動能股 / 先看資金,⚪ 候選 / 觀察,觀察,追蹤中,盤中背景暫估,背景追蹤中,2026-06-12 16:01:23,487.0,487.0,0,0,0,0,0,0,50.0,30.0,52.5,60.0,10.0,46.4,479.69,472.49,509.00,495.77,2.98,上市成交金額排行,GitHub Actions background v2.15.4,⚪ 候選 / 觀察
